event_id,restaurant_id,restaurant_name,photo_url,event_title,event_start_date,event_end_date
336644,18856789,AIR- An Ivory Region,https://www.zomato.com/ncr/air-an-ivory-region-punjabi-bagh-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Dhol Bhangra Night,2019-04-10,2019-04-11
336889,18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cocktail Wednesday,2019-04-10,2019-04-10
336888,18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cocktail Wednesday,2019-04-10,2019-04-10
336890,18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cocktail Wednesday,2019-04-10,2019-04-10
336894,18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Hip Hop Friday,2019-04-12,2019-04-12
336903,18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Urban Saturday,2019-04-13,2019-04-13
336622,18466951,Jungle Jamboree,https://www.zomato.com/ncr/jungle-jamboree-sector-34-noida/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Special Navratras Thali at just @399 +Taxes at Jungle Jamboree,2019-04-08,2019-04-13
336251,18337893,The Luggage Room Kitchen And Bar,https://www.zomato.com/TheLuggageRoom/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Commercial Night,2019-04-10,2019-04-11
336248,18337893,The Luggage Room Kitchen And Bar,https://www.zomato.com/TheLuggageRoom/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Ladies Night,2019-04-11,2019-04-11
337099,18571735,Dum Laga Ke Haishaa,https://www.zomato.com/kolkata/dum-laga-ke-haishaa-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Live Sports Screening,2019-04-09,2019-05-18
337096,18571735,Dum Laga Ke Haishaa,https://www.zomato.com/kolkata/dum-laga-ke-haishaa-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Poila Baishak,2019-04-14,2019-04-15
337102,18571735,Dum Laga Ke Haishaa,https://www.zomato.com/kolkata/dum-laga-ke-haishaa-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Poila Baishak Special,2019-04-14,2019-04-15
334818,18398880,JW Kitchen - JW Marriott Hotel Kolkata,https://www.zomato.com/kolkata/jw-kitchen-jw-marriott-hotel-kolkata-science-city-area/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Poila Baishakh Buffet ,2019-04-15,2019-04-15
337247,18761167,Echoes Kolkata,https://www.zomato.com/kolkata/echoes-kolkata-topsia/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Celebrate Poila Boishak with Echoes,2019-04-15,2019-04-15
333108,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Apna Stadium Khud Chuno - IPL 2019 Big Match Day,2019-04-03,2019-05-05
334920,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Ladies Night,2019-04-11,2019-04-11
334922,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Game of Thrones - Special Screening of season 8,2019-04-15,2019-04-15
336892,18392725,Tamasha,https://www.zomato.com/mumbai/tamasha-lower-parel/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bombay Velvet,2019-04-11,2019-04-12
336898,18392725,Tamasha,https://www.zomato.com/mumbai/tamasha-lower-parel/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Zulfi Performing Live,2019-04-12,2019-04-13
336881,18566818,JLWA,https://www.zomato.com/mumbai/jlwa-linking-road-bandra-west/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Juggy & Band Live,2019-04-10,2019-04-11
318235,48851,Rude Lounge,https://www.zomato.com/mumbai/rude-lounge-powai/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Zumba Fitness with ZIN Mohsin & ZIN Varsha at Rude Powai,2019-04-20,2019-04-20
337298,18205932,The Cult - Peninsula Grand Hotel,https://www.zomato.com/mumbai/the-cult-peninsula-grand-hotel-sakinaka/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Happy Hours ,2019-04-09,2020-05-29
336620,18205932,The Cult - Peninsula Grand Hotel,https://www.zomato.com/mumbai/the-cult-peninsula-grand-hotel-sakinaka/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Glam & Glitz Bolly Molly Ladies Retro Night,2019-04-10,2019-04-11
336992,18205932,The Cult - Peninsula Grand Hotel,https://www.zomato.com/mumbai/the-cult-peninsula-grand-hotel-sakinaka/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,MTV Swag Ladies Night ,2019-04-11,2019-04-12
337480,18205932,The Cult - Peninsula Grand Hotel,https://www.zomato.com/mumbai/the-cult-peninsula-grand-hotel-sakinaka/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Friday Night,2019-04-12,2019-04-13
337300,18205932,The Cult - Peninsula Grand Hotel,https://www.zomato.com/mumbai/the-cult-peninsula-grand-hotel-sakinaka/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Saturday Night,2019-04-13,2019-04-14
